French Word,Definition
nageons,"swim, are swimming"
dessinez,draw
nager,to swim
dessines,"(you) take shape/are taking shape, (you) design, (you) draw/are drawing"
nagent,"swim, are swimming"
nage,"swim, am swimming, swims"
dessiner,to draw
étudier,to study
étudions,"study, are studying"
écouter,"to listen to, to listen"
chanter,to sing
chantes,"sing, are singing"
chante,"am singing, sings, sing"
écoutes,"are listening to, listen to, listen"
visitez,"are visiting, visit"
visitent,"visit, are visiting"
danse,"am dancing, is dancing, dances"
danser,to dance
danses,"(you) dance/are dancing, dance, dances"
marches,"are walking, steps, walk"
marche,"work, walks, is walking"
attendre,"wait for, waiting, wait"
en retard,late
pouvez-vous,can you
bagage,"luggage, bag"
vol,"theft, flight, robbery"
question,question
venez-vous,"are you, do you come"
Afrique,Africa
nation,nation
quelle,"what an, what a, what"
destination,destination
nationalité,nationality
profession,profession
Sénégal,Senegal
voyagez-vous,are you traveling
venez,"come, are coming"
quel,which
prénom,first name
nom,"name, last name"
manger,"to eat, eating, eaten"
voulez-vous,do you want
boire,"to drink, drinking"
quelque chose,something
voyagez,"travel, are traveling"
pouvez,"can, may"
madame,"ma'am, Mrs., Ms."
excusez-moi,excuse me
mademoiselle,miss
monsieur,"sir, gentleman, man"
de rien,you're welcome
salle de bain,bathroom
trop de,"too much, too many"
trop,"too many, too, too much"
sel,salt
de l'après-midi,in the afternoon
placard,"closet, cupboard, cabinet"
s'il te plaît,please
un peu de,a little
sucre,"sugar, sugar cube, piece of sugar"
beaucoup de,a lot of
lait,milk
plaît,"like, enjoy, pleases"
frigo,fridge
du soir,"at night, evenings, p.m"
il est,"he's, it's"
devez,"have to, must, need to"
du matin,"morning, in the morning, a.m."
horloge,clock
rentre,"go back, fits, is going home"
tôt,early
tard,late
rentrer,"go back, go home to, go home"
heure,"time, hour"
sors,"get out, leave, are coming out"
sortir,to go out
chez,"to X's place, to X's house, 's"
midi,noon
avant,"before, for, beforehand"
minuit,midnight
chambre,"room, bedroom"
habitez-vous,do you live
avez-vous,do you have
avec qui,with who
problème,problem
prends-tu,do you take
étudiez-vous,do you study
travailles-tu,do you work
semaine,week
vas-tu,are you going
sont-ils,"are they, are"
est-il,"is he, is it, did he"
belge,Belgian
pourquoi,why
aimes-tu,"are you fond of, do you love, do you like"
travaillent-elles,do they work
parlez-vous,do you speak/talk
est-elle,"is it, is she, did she"
maintenant,"now, nowadays, today"
êtes-vous,are you
québécois,"Quebecois, from Quebec"
voulez,want
tous les jours,"every day, daily"
prenez,"are getting, are having, getting"
achetez,"buy, are buying"
baguette,"baguette, wand"
lisez,"read, are reading"
nos,our
avez,"have, get"
vos,your
allez,"go, are going, come on"
amie,friend
notre,our
marié,"groom, married"
ami,friend
votre,your
mariée,"bride, married, got married"
habitez,"live, are living"
ensemble,"together, at the same time, cohesion"
aimez,"love (person/pet), like (thing), love"
mariés,"married, bride and groom"
étudiez,"study, are studying"
vous êtes,you're
parlez,"speak, are speaking, talk"
cuisinez,"cook, are cooking"
travaillez,"work, are working"
dansez,dance
êtes,are
vous,"you, yourselves, yourself"
troisième,"third, ninth grade"
visiter,"visiting, to visit, visit"
lieu,"place, premises"
dangereux,dangerous
trouver,"to find, find, finding"
deuxième,second
près,"near, close, closely"
loin,"far, far away"
pont,bridge
route,"road, runs"
près du,close to the
près de,close to
derrière,"behind, in the back, at the back"
habiter,to live
meuble,"piece of furniture, softer"
intéressant,interesting
immeuble,"apartment building, building"
gauche,left
première,"premiere, first, eleventh grade"
tourner,"to turn, turn, (to) turn"
à gauche,to the left
devant,"in front of, ahead of, before"
à droite,to the right
marcher,"work, walking, works"
dois,"have to, need to, must"
aller,"to go, go, going"
rue,street
important,important
parler,"speak, to speak, talking"
quatorze,"fourteen, 14"
quinze,"fifteen, 15"
ont-ils,do they have
peux,"am able to, can, are able to"
brun,"dark, dark-haired, brown"
treize,thirteen
quel âge,how old
douze,"twelve, 12"
onze,"eleven, 11"
qui,"that, whom, who"
as-tu,do you have
venons,"come, are coming"
quand,when
parlons,"talk, speak, let's talk"
n'est,isn't
n',not
blond,blond
jeune,young
quoi,what
ne,not
viennent,"come, are coming"
pas,"not, no, step"
italien,Italian
vient,"is coming, coming, come"
viens,"come, are coming, am coming"
japonais,Japanese
main,hand
canadien,Canadian
rouges,red
rouge,red
dix,"ten, tenth"
achètes,"buy, buying, are buying"
t-shirt,T-shirt
veste,jacket
coûtent,"cost, are"
neuf,"nine, new, 9"
du,"of the, from the, about the"
achète,"am buying, buy, get"
jupe,skirt
combien,"how much, how many"
huit,"eight, eighth"
prix,"fare, price, prizes"
coûte,"costs, cost, is"
sept,"seven, 7"
chers,"expensive, fondest"
chères,expensive
euro,"euro, euros"
chaussure,shoe
sac,bag
vêtements,clothes
six,"six, 6"
cher,"expensive, dear, a lot (of money)"
chère,"expensive, dear"
robe,dress
pantalon,"pants, pair of pants"
parfois,sometimes
samedi,Saturday
